Breite;Länge;Insekt
0.48;0.38;Marienkäfer
0.32;0.74;Raupe
0.49;0.27;Marienkäfer
0.58;0.46;Marienkäfer
0.11;0.58;Raupe
0.41;0.32;Marienkäfer
0.32;0.83;Raupe
0.45;0.31;Marienkäfer
0.58;0.42;Marienkäfer
0.37;0.95;Raupe
0.39;0.25;Marienkäfer
0.58;0.41;Marienkäfer
0.2;0.71;Raupe
0.1;0.21;Raupe
0.23;0.64;Raupe
0.27;0.61;Raupe
0.15;0.79;Raupe
0.68;0.43;Marienkäfer
0.46;0.37;Marienkäfer
0.57;0.39;Marienkäfer
0.11;0.56;Raupe
0.68;0.41;Marienkäfer
0.53;0.26;Marienkäfer
0.57;0.36;Marienkäfer
0.16;0.85;Raupe
0.42;0.26;Marienkäfer
0.45;0.37;Marienkäfer
0.11;0.36;Raupe
0.56;0.42;Marienkäfer
0.21;0.89;Raupe
0.65;0.53;Marienkäfer
0.42;0.23;Marienkäfer
0.34;0.68;Raupe
0.46;0.26;Marienkäfer
0.31;0.84;Raupe
0.39;0.93;Raupe
0.19;0.86;Raupe
0.21;0.71;Raupe
0.44;0.34;Marienkäfer
0.6;0.42;Marienkäfer
0.65;0.51;Marienkäfer
0.42;0.27;Marienkäfer
0.69;0.42;Marienkäfer
0.32;0.71;Raupe
0.2;0.74;Raupe
0.27;0.69;Raupe
0.29;0.72;Raupe
0.37;0.79;Raupe
0.33;0.87;Raupe
0.18;0.68;Raupe
0.65;0.41;Marienkäfer
0.2;0.66;Raupe
0.41;0.34;Marienkäfer
0.61;0.35;Marienkäfer
0.15;0.94;Raupe
0.19;0.54;Raupe
0.1;0.25;Raupe
0.35;0.71;Raupe
0.39;0.78;Raupe
0.34;0.74;Raupe
0.39;0.27;Marienkäfer
0.34;0.71;Raupe
0.14;0.41;Raupe
0.27;0.67;Raupe
0.25;0.95;Raupe
0.43;0.33;Marienkäfer
0.54;0.34;Marienkäfer
0.37;0.2;Marienkäfer
0.26;0.81;Raupe
0.14;0.82;Raupe
0.25;0.96;Raupe
0.59;0.41;Marienkäfer
0.6;0.36;Marienkäfer
0.34;0.74;Raupe
0.5;0.38;Marienkäfer
0.39;0.26;Marienkäfer
0.67;0.35;Marienkäfer
0.59;0.43;Marienkäfer
0.65;0.47;Marienkäfer
0.38;0.88;Raupe
0.13;0.49;Raupe
0.43;0.25;Marienkäfer
0.23;0.57;Raupe
0.32;0.97;Raupe
0.19;0.85;Raupe
0.35;0.89;Raupe
0.21;0.69;Raupe
0.68;0.36;Marienkäfer
