Breite;Länge;Insekt
48;38;Marienkäfer
32;74;Raupe
49;27;Marienkäfer
58;46;Marienkäfer
11;58;Raupe
41;32;Marienkäfer
32;82;Raupe
45;31;Marienkäfer
58;42;Marienkäfer
37;95;Raupe
39;25;Marienkäfer
58;41;Marienkäfer
20;71;Raupe
10;21;Raupe
23;64;Raupe
27;61;Raupe
15;79;Raupe
68;43;Marienkäfer
46;37;Marienkäfer
56;39;Marienkäfer
11;56;Raupe
68;41;Marienkäfer
53;26;Marienkäfer
56;36;Marienkäfer
16;85;Raupe
42;26;Marienkäfer
45;37;Marienkäfer
11;36;Raupe
56;42;Marienkäfer
21;89;Raupe
65;53;Marienkäfer
42;23;Marienkäfer
34;68;Raupe
46;26;Marienkäfer
31;84;Raupe
39;93;Raupe
19;86;Raupe
21;71;Raupe
44;34;Marienkäfer
60;42;Marienkäfer
65;51;Marienkäfer
42;27;Marienkäfer
69;42;Marienkäfer
32;71;Raupe
20;74;Raupe
27;69;Raupe
29;72;Raupe
37;79;Raupe
33;87;Raupe
18;68;Raupe
65;41;Marienkäfer
20;66;Raupe
41;34;Marienkäfer
61;35;Marienkäfer
15;93;Raupe
19;54;Raupe
10;25;Raupe
35;71;Raupe
39;78;Raupe
34;74;Raupe
39;27;Marienkäfer
34;71;Raupe
14;41;Raupe
27;67;Raupe
25;95;Raupe
43;33;Marienkäfer
54;34;Marienkäfer
37;20;Marienkäfer
26;81;Raupe
14;82;Raupe
25;96;Raupe
58;41;Marienkäfer
60;36;Marienkäfer
34;74;Raupe
50;38;Marienkäfer
39;26;Marienkäfer
67;35;Marienkäfer
58;43;Marienkäfer
65;46;Marienkäfer
38;88;Raupe
13;49;Raupe
43;25;Marienkäfer
23;56;Raupe
32;97;Raupe
19;85;Raupe
35;89;Raupe
21;69;Raupe
68;36;Marienkäfer
51;25;Marienkäfer
61;42;Marienkäfer
21;60;Raupe
16;85;Raupe
32;82;Raupe
39;89;Raupe
38;82;Raupe
10;45;Raupe
27;86;Raupe
17;37;Raupe
56;30;Marienkäfer
26;87;Raupe
60;46;Marienkäfer
37;88;Raupe
58;39;Marienkäfer
51;33;Marienkäfer
51;27;Marienkäfer
33;85;Raupe
58;29;Marienkäfer
40;23;Marienkäfer
46;25;Marienkäfer
50;29;Marienkäfer
20;92;Raupe
53;27;Marienkäfer
33;93;Raupe
46;32;Marienkäfer
65;50;Marienkäfer
63;40;Marienkäfer
46;28;Marienkäfer
36;74;Raupe
50;27;Marienkäfer
66;37;Marienkäfer
37;26;Marienkäfer
39;79;Raupe
32;68;Raupe
19;52;Raupe
38;27;Marienkäfer
34;69;Raupe
67;38;Marienkäfer
39;23;Marienkäfer
19;78;Raupe
60;42;Marienkäfer
19;95;Raupe
66;39;Marienkäfer
67;33;Marienkäfer
56;37;Marienkäfer
16;51;Raupe
51;28;Marienkäfer
38;89;Raupe
58;30;Marienkäfer
37;22;Marienkäfer
40;20;Marienkäfer
35;24;Marienkäfer
14;71;Raupe
46;30;Marienkäfer
35;91;Raupe
31;69;Raupe
31;81;Raupe
39;88;Raupe
38;22;Marienkäfer
13;46;Raupe
32;84;Raupe
37;26;Marienkäfer
10;91;Raupe
38;27;Marienkäfer
36;85;Raupe
12;82;Raupe
69;48;Marienkäfer
58;46;Marienkäfer
60;30;Marienkäfer
36;79;Raupe
17;62;Raupe
23;82;Raupe
15;41;Raupe
66;49;Marienkäfer
64;51;Marienkäfer
21;56;Raupe
38;29;Marienkäfer
30;96;Raupe
39;26;Marienkäfer
58;31;Marienkäfer
55;41;Marienkäfer
61;51;Marienkäfer
58;44;Marienkäfer
19;49;Raupe
16;40;Raupe
25;55;Raupe
32;75;Raupe
56;34;Marienkäfer
46;24;Marienkäfer
20;69;Raupe
35;23;Marienkäfer
39;21;Marienkäfer
22;58;Raupe
68;50;Marienkäfer
23;52;Raupe
13;26;Raupe
54;34;Marienkäfer
19;91;Raupe
31;69;Raupe
53;40;Marienkäfer
64;46;Marienkäfer
35;23;Marienkäfer
42;21;Marienkäfer
35;74;Raupe
23;62;Raupe
65;51;Marienkäfer
56;37;Marienkäfer
10;54;Raupe
39;81;Raupe
56;29;Marienkäfer
38;93;Raupe
