Breite;Länge;Insekt
12.19;9.65;Marienkäfer
8.13;18.8;Raupe
12.45;6.86;Marienkäfer
14.73;11.68;Marienkäfer
2.79;14.73;Raupe
10.41;8.13;Marienkäfer
8.13;21.08;Raupe
11.43;7.87;Marienkäfer
14.73;10.67;Marienkäfer
9.4;24.13;Raupe
9.91;6.35;Marienkäfer
14.73;10.41;Marienkäfer
5.08;18.03;Raupe
2.54;5.33;Raupe
5.84;16.26;Raupe
6.86;15.49;Raupe
3.81;20.07;Raupe
17.27;10.92;Marienkäfer
11.68;9.4;Marienkäfer
14.48;9.91;Marienkäfer
2.79;14.22;Raupe
17.27;10.41;Marienkäfer
13.46;6.6;Marienkäfer
14.48;9.14;Marienkäfer
4.06;21.59;Raupe
10.67;6.6;Marienkäfer
11.43;9.4;Marienkäfer
2.79;9.14;Raupe
14.22;10.67;Marienkäfer
5.33;22.61;Raupe
16.51;13.46;Marienkäfer
10.67;5.84;Marienkäfer
8.64;17.27;Raupe
11.68;6.6;Marienkäfer
7.87;21.34;Raupe
9.91;23.62;Raupe
4.83;21.84;Raupe
5.33;18.03;Raupe
11.18;8.64;Marienkäfer
15.24;10.67;Marienkäfer
16.51;12.95;Marienkäfer
10.67;6.86;Marienkäfer
17.53;10.67;Marienkäfer
8.13;18.03;Raupe
5.08;18.8;Raupe
6.86;17.53;Raupe
7.37;18.29;Raupe
9.4;20.07;Raupe
8.38;22.1;Raupe
4.57;17.27;Raupe
16.51;10.41;Marienkäfer
5.08;16.76;Raupe
10.41;8.64;Marienkäfer
15.49;8.89;Marienkäfer
3.81;23.88;Raupe
4.83;13.72;Raupe
2.54;6.35;Raupe
8.89;18.03;Raupe
9.91;19.81;Raupe
8.64;18.8;Raupe
9.91;6.86;Marienkäfer
8.64;18.03;Raupe
3.56;10.41;Raupe
6.86;17.02;Raupe
6.35;24.13;Raupe
10.92;8.38;Marienkäfer
13.72;8.64;Marienkäfer
9.4;5.08;Marienkäfer
6.6;20.57;Raupe
3.56;20.83;Raupe
6.35;24.38;Raupe
14.99;10.41;Marienkäfer
15.24;9.14;Marienkäfer
8.64;18.8;Raupe
12.7;9.65;Marienkäfer
9.91;6.6;Marienkäfer
17.02;8.89;Marienkäfer
14.99;10.92;Marienkäfer
16.51;11.94;Marienkäfer
9.65;22.35;Raupe
3.3;12.45;Raupe
10.92;6.35;Marienkäfer
5.84;14.48;Raupe
8.13;24.64;Raupe
4.83;21.59;Raupe
8.89;22.61;Raupe
5.33;17.53;Raupe
17.27;9.14;Marienkäfer
12.95;6.35;Marienkäfer
15.49;10.67;Marienkäfer
5.33;15.24;Raupe
4.06;21.59;Raupe
8.13;20.83;Raupe
9.91;22.61;Raupe
9.65;20.83;Raupe
2.54;11.43;Raupe
6.86;21.84;Raupe
4.32;9.4;Raupe
14.48;7.62;Marienkäfer
6.6;22.1;Raupe
15.24;11.94;Marienkäfer
9.4;22.35;Raupe
14.73;9.91;Marienkäfer
12.95;8.38;Marienkäfer
12.95;6.86;Marienkäfer
8.38;21.59;Raupe
14.99;7.37;Marienkäfer
10.16;5.84;Marienkäfer
11.68;6.35;Marienkäfer
12.7;7.37;Marienkäfer
5.08;23.37;Raupe
13.46;6.86;Marienkäfer
8.38;23.62;Raupe
11.94;8.13;Marienkäfer
16.51;12.7;Marienkäfer
16.0;10.16;Marienkäfer
11.68;7.11;Marienkäfer
9.14;18.8;Raupe
12.7;6.86;Marienkäfer
16.76;9.4;Marienkäfer
9.4;6.6;Marienkäfer
9.91;20.07;Raupe
8.13;17.27;Raupe
4.83;13.21;Raupe
9.65;6.86;Marienkäfer
8.64;17.53;Raupe
17.02;9.65;Marienkäfer
9.91;5.84;Marienkäfer
4.83;19.81;Raupe
15.24;10.67;Marienkäfer
4.83;24.13;Raupe
16.76;9.91;Marienkäfer
17.02;8.38;Marienkäfer
14.48;9.4;Marienkäfer
4.06;12.95;Raupe
12.95;7.11;Marienkäfer
9.65;22.61;Raupe
14.99;7.62;Marienkäfer
9.4;5.59;Marienkäfer
10.16;5.08;Marienkäfer
8.89;6.1;Marienkäfer
3.56;18.03;Raupe
11.94;7.62;Marienkäfer
8.89;23.11;Raupe
7.87;17.53;Raupe
7.87;20.57;Raupe
9.91;22.35;Raupe
9.65;5.59;Marienkäfer
3.3;11.94;Raupe
8.13;21.34;Raupe
9.4;6.6;Marienkäfer
2.54;23.11;Raupe
9.65;6.86;Marienkäfer
9.14;21.59;Raupe
3.05;21.08;Raupe
17.53;12.19;Marienkäfer
14.99;11.94;Marienkäfer
15.24;7.62;Marienkäfer
9.14;20.07;Raupe
4.32;15.75;Raupe
5.84;20.83;Raupe
3.81;10.41;Raupe
16.76;12.45;Marienkäfer
16.26;12.95;Marienkäfer
5.33;14.22;Raupe
9.65;7.37;Marienkäfer
7.62;24.38;Raupe
9.91;6.6;Marienkäfer
14.73;7.87;Marienkäfer
13.97;10.41;Marienkäfer
15.49;12.95;Marienkäfer
14.99;11.18;Marienkäfer
4.83;12.45;Raupe
4.06;10.16;Raupe
6.35;13.97;Raupe
8.13;19.05;Raupe
14.22;8.64;Marienkäfer
11.68;6.1;Marienkäfer
5.08;17.53;Raupe
8.89;5.84;Marienkäfer
9.91;5.33;Marienkäfer
5.59;14.73;Raupe
17.27;12.7;Marienkäfer
5.84;13.21;Raupe
3.3;6.6;Raupe
13.72;8.64;Marienkäfer
4.83;23.11;Raupe
7.87;17.53;Raupe
13.46;10.16;Marienkäfer
16.26;11.68;Marienkäfer
8.89;5.84;Marienkäfer
10.67;5.33;Marienkäfer
8.89;18.8;Raupe
5.84;15.75;Raupe
16.51;12.95;Marienkäfer
14.48;9.4;Marienkäfer
2.54;13.72;Raupe
9.91;20.57;Raupe
14.22;7.37;Marienkäfer
9.65;23.62;Raupe
