Entfernung,Start,Ziel
3,HEILIGENHAFEN - MITTE (A 1),GREMERSDORF (A 1)
3,GREMERSDORF (A 1),HEILIGENHAFEN - MITTE (A 1)
3,GREMERSDORF (A 1),JAHNSHOF (A 1)
3,JAHNSHOF (A 1),GREMERSDORF (A 1)
2,JAHNSHOF (A 1),OLDENBURG - NORD (A 1)
2,OLDENBURG - NORD (A 1),JAHNSHOF (A 1)
1,OLDENBURG - NORD (A 1),OLDENBURG - MITTE (A 1)
1,OLDENBURG - MITTE (A 1),OLDENBURG - NORD (A 1)
1,OLDENBURG - MITTE (A 1),OLDENBURG - SUED (A 1)
1,OLDENBURG - SUED (A 1),OLDENBURG - MITTE (A 1)
8,OLDENBURG - SUED (A 1),LENSAHN (A 1)
8,LENSAHN (A 1),OLDENBURG - SUED (A 1)
12,LENSAHN (A 1),NEUSTADT - PELZERHAKEN (A 1)
12,NEUSTADT - PELZERHAKEN (A 1),LENSAHN (A 1)
6,NEUSTADT - PELZERHAKEN (A 1),NEUSTADT - MITTE (A 1)
6,NEUSTADT - MITTE (A 1),NEUSTADT - PELZERHAKEN (A 1)
6,NEUSTADT - MITTE (A 1),EUTIN (A 1)
6,EUTIN (A 1),NEUSTADT - MITTE (A 1)
2,EUTIN (A 1),SCHARBEUTZ (A 1)
2,SCHARBEUTZ (A 1),EUTIN (A 1)
2,SCHARBEUTZ (A 1),PANSDORF (A 1)
2,PANSDORF (A 1),SCHARBEUTZ (A 1)
8,PANSDORF (A 1),RATEKAU (A 1)
8,RATEKAU (A 1),PANSDORF (A 1)
4,RATEKAU (A 1),SEREETZ (A 1)
4,SEREETZ (A 1),RATEKAU (A 1)
0.4,SEREETZ (A 1),DREIECK BAD SCHWARTAU
0.4,DREIECK BAD SCHWARTAU,SEREETZ (A 1)
2,DREIECK BAD SCHWARTAU,BAD SCHWARTAU (A 1)
2,BAD SCHWARTAU (A 1),DREIECK BAD SCHWARTAU
3,BAD SCHWARTAU (A 1),LUEBECK - ZENTRUM (A 1)
3,LUEBECK - ZENTRUM (A 1),BAD SCHWARTAU (A 1)
3,LUEBECK - ZENTRUM (A 1),LUEBECK - MOISLING (A 1)
3,LUEBECK - MOISLING (A 1),LUEBECK - ZENTRUM (A 1)
2,LUEBECK - MOISLING (A 1),KREUZ LUEBECK
2,KREUZ LUEBECK,LUEBECK - MOISLING (A 1)
7,KREUZ LUEBECK,REINFELD (A 1)
7,REINFELD (A 1),KREUZ LUEBECK
7,REINFELD (A 1),BAD OLDESLOE (A 1)
7,BAD OLDESLOE (A 1),REINFELD (A 1)
9,BAD OLDESLOE (A 1),BARGTEHEIDE (A 1)
9,BARGTEHEIDE (A 1),BAD OLDESLOE (A 1)
0.3,BARGTEHEIDE (A 1),KREUZ BARGTEHEIDE
0.3,KREUZ BARGTEHEIDE,BARGTEHEIDE (A 1)
9,KREUZ BARGTEHEIDE,AHRENSBURG (A 1)
9,AHRENSBURG (A 1),KREUZ BARGTEHEIDE
4,AHRENSBURG (A 1),STAPELFELD (A 1)
4,STAPELFELD (A 1),AHRENSBURG (A 1)
5,STAPELFELD (A 1),BARSBUETTEL (A 1)
5,BARSBUETTEL (A 1),STAPELFELD (A 1)
3,BARSBUETTEL (A 1),KREUZ HAMBURG - OST
3,KREUZ HAMBURG - OST,BARSBUETTEL (A 1)
2,KREUZ HAMBURG - OST,HAMBURG - OEJENDORF (A 1)
2,HAMBURG - OEJENDORF (A 1),KREUZ HAMBURG - OST
2,HAMBURG - OEJENDORF (A 1),HAMBURG - BILLSTEDT (A 1)
2,HAMBURG - BILLSTEDT (A 1),HAMBURG - OEJENDORF (A 1)
3,HAMBURG - BILLSTEDT (A 1),HAMBURG - MOORFLEET (A 1)
3,HAMBURG - MOORFLEET (A 1),HAMBURG - BILLSTEDT (A 1)
0.5,HAMBURG - MOORFLEET (A 1),DREIECK HAMBURG - SUEDOST
0.5,DREIECK HAMBURG - SUEDOST,HAMBURG - MOORFLEET (A 1)
2,DREIECK HAMBURG - SUEDOST,KREUZ HAMBURG - SUED
2,KREUZ HAMBURG - SUED,DREIECK HAMBURG - SUEDOST
4,KREUZ HAMBURG - SUED,DREIECK HAMBURG - STILLHORN
4,DREIECK HAMBURG - STILLHORN,KREUZ HAMBURG - SUED
2,DREIECK HAMBURG - STILLHORN,HAMBURG - HARBURG (A 1)
2,HAMBURG - HARBURG (A 1),DREIECK HAMBURG - STILLHORN
8,HAMBURG - HARBURG (A 1),MASCHENER KREUZ
8,MASCHENER KREUZ,HAMBURG - HARBURG (A 1)
1,MASCHENER KREUZ,HORSTER DREIECK
1,HORSTER DREIECK,MASCHENER KREUZ
2,HORSTER DREIECK,SEEVETAL - HITTFELD (A 1)
2,SEEVETAL - HITTFELD (A 1),HORSTER DREIECK
7,SEEVETAL - HITTFELD (A 1),DIBBERSEN (A 1)
7,DIBBERSEN (A 1),SEEVETAL - HITTFELD (A 1)
2,DIBBERSEN (A 1),BUCHHOLZER DREIECK
2,BUCHHOLZER DREIECK,DIBBERSEN (A 1)
3,BUCHHOLZER DREIECK,RADE (A 1)
3,RADE (A 1),BUCHHOLZER DREIECK
6,RADE (A 1),HOLLENSTEDT (A 1)
6,HOLLENSTEDT (A 1),RADE (A 1)
6,HOLLENSTEDT (A 1),HEIDENAU (A 1)
6,HEIDENAU (A 1),HOLLENSTEDT (A 1)
10,HEIDENAU (A 1),SITTENSEN (A 1)
10,SITTENSEN (A 1),HEIDENAU (A 1)
12,SITTENSEN (A 1),ELSDORF (A 1)
12,ELSDORF (A 1),SITTENSEN (A 1)
7,ELSDORF (A 1),BOCKEL (A 1)
7,BOCKEL (A 1),ELSDORF (A 1)
11,BOCKEL (A 1),STUCKENBORSTEL (A 1)
11,STUCKENBORSTEL (A 1),BOCKEL (A 1)
4,STUCKENBORSTEL (A 1),POSTHAUSEN (A 1)
4,POSTHAUSEN (A 1),STUCKENBORSTEL (A 1)
9,POSTHAUSEN (A 1),OYTEN (A 1)
9,OYTEN (A 1),POSTHAUSEN (A 1)
3,OYTEN (A 1),BREMER KREUZ
3,BREMER KREUZ,OYTEN (A 1)
2,BREMER KREUZ,UPHUSEN / BREMEN - MAHNDORF (A 1)
2,UPHUSEN / BREMEN - MAHNDORF (A 1),BREMER KREUZ
6,UPHUSEN / BREMEN - MAHNDORF (A 1),BREMEN - HEMELINGEN (A 1)
6,BREMEN - HEMELINGEN (A 1),UPHUSEN / BREMEN - MAHNDORF (A 1)
