Start,Ziel,Entfernung
HEILIGENHAFEN - MITTE (A 1),GREMERSDORF (A 1),3
GREMERSDORF (A 1),JAHNSHOF (A 1),3
JAHNSHOF (A 1),OLDENBURG - NORD (A 1),2
OLDENBURG - NORD (A 1),OLDENBURG - MITTE (A 1),1
OLDENBURG - MITTE (A 1),OLDENBURG - SUED (A 1),1
OLDENBURG - SUED (A 1),LENSAHN (A 1),8
LENSAHN (A 1),NEUSTADT - PELZERHAKEN (A 1),12
NEUSTADT - PELZERHAKEN (A 1),NEUSTADT - MITTE (A 1),6
NEUSTADT - MITTE (A 1),EUTIN (A 1),6
EUTIN (A 1),SCHARBEUTZ (A 1),2
SCHARBEUTZ (A 1),PANSDORF (A 1),2
PANSDORF (A 1),RATEKAU (A 1),8
RATEKAU (A 1),SEREETZ (A 1),4
SEREETZ (A 1),DREIECK BAD SCHWARTAU,0.4
DREIECK BAD SCHWARTAU,BAD SCHWARTAU (A 1),2
BAD SCHWARTAU (A 1),LUEBECK - ZENTRUM (A 1),3
LUEBECK - ZENTRUM (A 1),LUEBECK - MOISLING (A 1),3
LUEBECK - MOISLING (A 1),KREUZ LUEBECK,2
KREUZ LUEBECK,REINFELD (A 1),7
REINFELD (A 1),BAD OLDESLOE (A 1),7
BAD OLDESLOE (A 1),BARGTEHEIDE (A 1),9
BARGTEHEIDE (A 1),KREUZ BARGTEHEIDE,0.3
KREUZ BARGTEHEIDE,AHRENSBURG (A 1),9
AHRENSBURG (A 1),STAPELFELD (A 1),4
STAPELFELD (A 1),BARSBUETTEL (A 1),5
BARSBUETTEL (A 1),KREUZ HAMBURG - OST,3
KREUZ HAMBURG - OST,HAMBURG - OEJENDORF (A 1),2
HAMBURG - OEJENDORF (A 1),HAMBURG - BILLSTEDT (A 1),2
HAMBURG - BILLSTEDT (A 1),HAMBURG - MOORFLEET (A 1),3
HAMBURG - MOORFLEET (A 1),DREIECK HAMBURG - SUEDOST,0.5
DREIECK HAMBURG - SUEDOST,KREUZ HAMBURG - SUED,2
KREUZ HAMBURG - SUED,DREIECK HAMBURG - STILLHORN,4
DREIECK HAMBURG - STILLHORN,HAMBURG - HARBURG (A 1),2
HAMBURG - HARBURG (A 1),MASCHENER KREUZ,8
MASCHENER KREUZ,HORSTER DREIECK,1
HORSTER DREIECK,SEEVETAL - HITTFELD (A 1),2
SEEVETAL - HITTFELD (A 1),DIBBERSEN (A 1),7
DIBBERSEN (A 1),BUCHHOLZER DREIECK,2
BUCHHOLZER DREIECK,RADE (A 1),3
RADE (A 1),HOLLENSTEDT (A 1),6
HOLLENSTEDT (A 1),HEIDENAU (A 1),6
HEIDENAU (A 1),SITTENSEN (A 1),10
SITTENSEN (A 1),ELSDORF (A 1),12
ELSDORF (A 1),BOCKEL (A 1),7
BOCKEL (A 1),STUCKENBORSTEL (A 1),11
STUCKENBORSTEL (A 1),POSTHAUSEN (A 1),4
POSTHAUSEN (A 1),OYTEN (A 1),9
OYTEN (A 1),BREMER KREUZ,3
BREMER KREUZ,UPHUSEN / BREMEN - MAHNDORF (A 1),2
UPHUSEN / BREMEN - MAHNDORF (A 1),BREMEN - HEMELINGEN (A 1),6
BREMEN - HEMELINGEN (A 1),KREUZ BREMEN - ARSTEN,2
KREUZ BREMEN - ARSTEN,BREMEN / BRINKUM (A 1),4
BREMEN / BRINKUM (A 1),DREIECK STUHR,2
DREIECK STUHR,GROSS IPPENER (A 1),11.5
GROSS IPPENER (A 1),WILDESHAUSEN - NORD (A 1),13
WILDESHAUSEN - NORD (A 1),WILDESHAUSEN - WEST (A 1),8
WILDESHAUSEN - WEST (A 1),AHLHORNER HEIDE (A 1),9
AHLHORNER HEIDE (A 1),DREIECK AHLHORNER HEIDE,0.4
DREIECK AHLHORNER HEIDE,KREUZ CLOPPENBURG,5
KREUZ CLOPPENBURG,VECHTA (A 1),10
VECHTA (A 1),LOHNE / DINKLAGE (A 1),8
LOHNE / DINKLAGE (A 1),HOLDORF (A 1),7
HOLDORF (A 1),NEUENKIRCHEN / VOERDEN (A 1),12
NEUENKIRCHEN / VOERDEN (A 1),BRAMSCHE (A 1),12
BRAMSCHE (A 1),DREIECK WALLENHORST,3
DREIECK WALLENHORST,OSNABRUECK - NORD (A 1),3
OSNABRUECK - NORD (A 1),OSNABRUECK - HAFEN (A 1),7
OSNABRUECK - HAFEN (A 1),KREUZ LOTTE / OSNABRUECK,4
KREUZ LOTTE / OSNABRUECK,LENGERICH (A 1),11
LENGERICH (A 1),LADBERGEN (A 1),8
LADBERGEN (A 1),GREVEN (A 1),9
GREVEN (A 1),KREUZ MUENSTER - NORD,12
KREUZ MUENSTER - NORD,KREUZ MUENSTER - SUED,9
KREUZ MUENSTER - SUED,ASCHEBERG (A 1),15
ASCHEBERG (A 1),KREUZ HAMM - BOCKUM / WERNE,11
KREUZ HAMM - BOCKUM / WERNE,HAMM / BERGKAMEN (A 1),5
HAMM / BERGKAMEN (A 1),KAMENER KREUZ,6
KAMENER KREUZ,KAMEN - ZENTRUM (A 1),3
KAMEN - ZENTRUM (A 1),KREUZ SUEDKAMEN,1
KREUZ SUEDKAMEN,UNNA (A 1),4
