Start,Ziel,Entfernung
Kiel,Schwerin,160
Kiel,Hamburg,97
Kiel,Bremen,211
Hamburg,Bremen,126
Schwerin,Hamburg,110
Hamm,Münster,70
Münster,Bremen, 120
Bremen,Hannover,127
Hamburg,Hannover,159
Bielefeld,Hannover,90
Düsseldorf,Hamm,110
Hamm,Bielefeld,80
Düsseldorf,Wiesbaden,212
Wiesbaden,Mainz,8
Mainz,Saarbrücken,151
Hannover,Wiesbaden,374
Hannover,Erfurt,249
Hannover,Magdeburg,146
Potsdam,Hannover,264
Schwerin,Berlin,224
Berlin,Potsdam,35
Potsdam,Magdeburg,134
Magdeburg,Erfurt,170
Potsdam,Erfurt,281  
Erfurt,Dresden,215
Berlin,Dresden,193
Erfurt,Wiesbaden,283
Mainz,Dresden,498
Saarbrücken,Stuttgart,222
Dresden,Stuttgart,507
Dresden,München,460
Stuttgart,München,223
